"","Module title","ID","Composite name","Module size...4","Module category","Annotation level","Web link","Top matched pathway in KEGG, PID and BIOCARTA","Jaccard Index...10","Enrichment p value...11","Pathway size","Overlap size...13","Top matched Chaussabel module","Jaccard Index...15","Enrichment p value...16","Module size...17","Overlap size...18","Top matched Transcription Factor","Jaccard Index...20","Enrichment p value...21","Gene set size","Overlap size...23","Top matched Gene Ontology terms (number of matched genes)","btm","group","subgroup","SetSize","Genes"
"41","amino acid metabolism and transport","M154.0","amino acid metabolishm and transport (M154.0)",33,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M154.0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (10), transmembrane transport (9), metal ion binding (9)","M154.0","ENERGY METABOLISM","ENERGY METABOLISM",33,"FXYD2, BBOX1, NAT8 /// NAT8B, AGXT2, BHMT2, DMGDH, GAL3ST1, BHMT, SLC7A9, ACSM5, ACSM2A /// ACSM2B /// LOC100291873, DPYS, LOC100130232, NR1H4, SLC6A12, GBA3, PDZK1, NAT8, SLCO4C1, ACSM2A, SLC6A13, RBP5, AGMAT, ACMSD, ACSM2A /// ACSM2B, SLC3A1, TMEM27, SLC17A1, LOC100422737, SLC17A3, C14orf105, GLYAT, SLC22A2"
"42","antigen presentation (lipids and proteins)","M28","antigen presentation (lipids and proteins) (M28)",11,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M28.htm","KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.11,6.15e-24,88,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plasma membrane (10), protein binding (9), immune response (9)","M28","INNATE RESPONSE","ANTIGEN PRESENTATION",11,"CD1D, CD1E, CD1B, CD1C, CD1A, HLA-DRB1, HLA-DRA, CD36, HLA-DRB4, CCR7, CD8A"
"43","antigen processing and presentation","M200","antigen processing and presentation (M200)",11,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M200.htm","KEGG_ASTHMA",0.14,1.45e-12,30,5,"[Chaussabel.v2]M8.83",0.16,1.49e-08,11,3,NA,NA,NA,NA,NA,"protein binding (7), membrane (7), plasma membrane (6)","M200","INNATE RESPONSE","ANTIGEN PRESENTATION",11,"HLA-DPB1, CD1D, LOC100294224, WDFY4, LOC100294318, HLA-DPA1, LOC100294317, HLA-DMB, METTL7A, HLA-DQA2, HLA-DMA"
"44","antiviral IFN signature","M75","antiviral IFN signature (M75)",22,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M75.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M1.2",0.17,2.83e-16,27,7,NA,NA,NA,NA,NA,"protein binding (15), cytoplasm (13), innate immune response (7)","M75","IFN","INTERFERON/ANTIVIRAL SENSING",22,"IFIH1, ELANE, SERPING1, IL1B, RSAD2, IFIT1, RARA, DDX58, FCER1A, DHX58, PTX3, CARD9, OAS1, OAS3, PML, ANXA3, HERC5, DDX60, CXCL10, IRF7, C1QB, BCL3"
"45","cell adhesion","M51","cell adhesion (M51)",38,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M51.htm","KEGG_ECM_RECEPTOR_INTERACTION",0.15,7.97e-30,84,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (29), cell adhesion (26), extracellular region (20)","M51","ECM AND MIGRATION","ECM AND MIGRATION",38,"CDH11, THBS2, LAMB1, ALOX12, COL3A1, CHL1, LAMA4, ARHGAP6, IL1B, ITGA2B, MMRN1, JAM3, GP1BA, TPM1, THBS1, NID2, GP9, PARVB, ITGB3, ITGB5, ENG, POSTN, COL5A1, VCAM1, TNC, SNAI2, CXCL12, SLAMF7, FN1, CCDC80, SRPX, MGP, ESAM, COL1A1, COL6A1, VWF, SELP, IL8"
"46","cell adhesion (GO)","M117","cell adhesion (GO) (M117)",21,"molecular function","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M117.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (19), cytoplasm (11), cell adhesion (11)","M117","ECM AND MIGRATION","ECM AND MIGRATION",21,"PPP2R1A, CD40LG, NELL2, CD96, NINJ1, PSTPIP1, LY9, ADAM9, CXCR3, CD6, CORO1A, PTPRC, ZAP70, SPOCK2, PRKCQ, SELPLG, CYTIP, CD300A, PLEK, LEF1, BCL2"
"47","cell adhesion (lymphocyte homing)","M21","cell adhesion (lymphocyte homing) (M21)",10,"molecular function","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M21.htm","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.02,1.05e-06,190,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (6), plasma membrane (6), cell adhesion (5)","M21","ECM AND MIGRATION","ECM AND MIGRATION",10,"SELL, SDK2, PTK2, CD72, MLLT4, CD24, VAV1, IL32, CCR7, CXCL13"
"48","cell adhesion, membrane","M133.0","cell adhesion, membrane (M133.0)",14,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M133.0.htm","KEGG_CELL_ADHESION_MOLECULES_CAMS",0.03,1.42e-08,134,5,NA,NA,NA,NA,NA,"AREB6_01",0.02,6.19e-06,202,4,"protein binding (13), plasma membrane (8), membrane (7)","M133.0","ECM AND MIGRATION","ECM AND MIGRATION",14,"SFN, SPINT1, BIK, EHF, JUP, LSR, EPS8L1, CDH1, EPCAM, CDH3, CLDN3, CLDN4, KRT19, CLDN7"
"49","cell cell adhesion","M133.1","cell cell adhesion (M133.1)",11,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M133.1.htm","KEGG_ECM_RECEPTOR_INTERACTION",0.06,3.11e-10,84,5,NA,NA,NA,NA,NA,"AREB6_01",0.02,2.08e-06,202,4,"protein binding (10), membrane (9), plasma membrane (8)","M133.1","ECM AND MIGRATION","ECM AND MIGRATION",11,"LAMA3, ITGB4, ITGB6, LAMC2, JUP, CDH1, CDH3, CLDN3, CLDN4, LAMB3, CLDN7"
"50","cell cycle (I)","M4.1","cell cycle (I) (M4.1)",145,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.1.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (117), nucleus (114), cytoplasm (80)","M4.1","CELL CYCLE","CELL CYCLE",145,"BUB1B, PLK1, PLK4, KIF2C, SKA1, TPX2, CCDC99, ESPL1, DLGAP5, BRCA1, CENPN, CENPM, CENPK, OIP5, CENPI, CENPH, CENPF, CENPE, SPAG5, MYBL2, CENPA, CENPW, KIFC1, H2AFX, KIF23, CCNF, NCAPH, NCAPG, TOP2A, SPC24, SPC25, KIF11, NCAPG2, STMN1, DTL, ZWINT, FEN1, NEK2, CCNE2, EXO1, TIMELESS, TTK, TYMS, CHEK1, SUV39H2, BUB1, CDC25C, CDC25A, SGOL2, NCAPD3, ZWILCH, PBK, GINS2, GINS1, GINS4, GPSM2, UBE2C, CDC20, MELK, DTYMK, POLE2, UBE2S, DSCC1, SMC2, POLA2, RFC5, CDT1, RFC3, SMC4, KIF15, PRKAR2B, FOXM1, FBXO5, FANCD2, GMNN, BRIP1, NDC80, CDC6, CDC7, NUSAP1, RACGAP1, ASPM, ERCC6L, KNTC1, CKS1B, PRIM1, RANBP1, FANCI, HELLS, CKS2, PTTG1, UHRF1, C11orf82, TACC3, CDK1, RAD51, CDC45, KIF20B, KIF20A, MKI67, POLA1, MAD2L1, DHFR, BIRC5, CEP55, RRM2, CHAF1B, PRC1, APITD1, FAM83D, DNA2, CCNA2, ECT2, TIPIN, CDKN3, NUF2, CDCA2, CDCA3, SKA3, AURKA, AURKB, CDCA5, CDCA8, PCNA, MCM10, MND1, ANLN, KIF18A, KIF18B, MCM6, MCM5, MCM4, MCM2, CASC5, HJURP, TRIP13, E2F7, CCNB2, CCNB1, E2F2, RFC4, E2F8, TUBG1, RAD54L, MLF1IP"
"51","cell cycle (II)","M4.10","cell cycle (II) (M4.10)",14,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.10.htm","KEGG_P53_SIGNALING_PATHWAY",0.12,3.09e-20,69,9,"[Chaussabel.v2]M3.3",0.11,2.48e-13,49,6,NA,NA,NA,NA,NA,"protein binding (12), nucleus (11), cytoplasm (10)","M4.10","CELL CYCLE","CELL CYCLE",14,"BRCA1, CCNB2, CCNB1, DTL, CCNE2, CDC25A, CCNE1, GINS2, CDK1, PERP, MELK, RRM2, STEAP3, CHEK1"
"52","cell cycle (III)","M103","cell cycle (III) (M103)",51,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M103.htm","KEGG_CELL_CYCLE",0.4,5.89e-120,128,51,NA,NA,NA,NA,NA,"E2F_Q6_01",0.06,7.17e-17,170,13,"protein binding (49), nucleus (45), mitotic cell cycle (43)","M103","CELL CYCLE","CELL CYCLE",51,"SMC1A, HDAC2, BUB1B, PLK1, CDKN1B, CDKN1A, PKMYT1, MAD2L1, ATR, CDC6, CDC7, CCNA2, CCNE2, SMC3, CCNE1, ANAPC10, TTK, ESPL1, DBF4, WEE1, CHEK2, CHEK1, PCNA, CDKN2C, CDKN2A, BUB1, RBL1, RBL2, RAD21, CDC25C, CDC25A, E2F5, MCM7, MCM6, MCM5, MCM4, MCM3, MCM2, PTTG1, SKP2, CCNB2, CCNB1, E2F2, E2F1, CDC23, CDC20, CDK1, CDK2, CDK4, CDC45, TFDP1"
"53","cell cycle and growth arrest","M31","cell cycle and growth arrest (M31)",12,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M31.htm","BIOCARTA_NTHI_PATHWAY",0.09,2.42e-07,24,3,NA,NA,NA,NA,NA,"SRF_C",0.02,1e-04,175,3,"protein binding (11), apoptosis (7), nucleus (5)","M31","CELL CYCLE","CELL CYCLE",12,"RARA, SIK1, GADD45B, JUNB, TNFAIP3, THBS1, PPP1R15A, OSM, IL1A, IL1B, DUSP1, IL8"
"54","cell cycle and transcription","M4.0","cell cycle and transcription (M4.0)",335,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (217), nucleus (160), cytoplasm (122)","M4.0","CELL CYCLE","CELL CYCLE",335,"FXYD6, FAM198B, HSPA6, BUB1B, PLK1, NUF2, CD33, TIMP2, PLK4, CD36, C5AR1, FCGR1B, FCGR1A, S100A11, SEMA4A, MAFB, S100A12, KIF2C, CPPED1, SKA1, TPX2, CCDC99, NUSAP1, TYROBP, UBE2T, FGR, MARCKS, ESPL1, C15orf42, DLGAP5, IRAK3, SIRPA, CDCA7, BRCA1, CENPN, CENPM, CENPK, OIP5, CENPI, CENPH, CENPF, ALOX5, NOD2, MYBL2, ITGAX, CENPA, CLEC4E, SPAG5, ZWINT, CSF3R, CENPW, SLC15A3, DEPDC1B, KIFC1, HPSE, KCTD12, TNFAIP2, LST1, CD300LF, ORC1L, WHSC1, RBM47, H2AFX, SECTM1, KIF23, RAB31, TLR2, CD163, CCNF, DAPK1, TLR4, GLT1D1, CHAC2, PTAFR, TLR8, TOP2A, TCF19, SPC24, SPC25, CDC20, TNFSF13, C16orf75, CD1D, CSF2RA, STMN1, IGSF6, DTL, PTTG3P, EMR2, RASSF4, TROAP, SLC31A2, FEN1, FAM64A, TMEM106C, FGL2, RIN2, POLA2, LY86, PLXNB2, STIL, LILRB3, LILRB2, LILRB1, CLEC7A, CCNE2, EXO1, TIMELESS, RNF130, PAICS, TNS3, CEACAM8, NEK2, DONSON, HNMT, WDFY3, CHEK1, GCA, FCN1, SUV39H2, BUB1, TFEC, CDC25C, CDC25A, NCAPH, SGOL2, RTN1, NCAPG, NCF1C, PGLYRP1, GRN, HCK, KIF18B, KIF15, PBK, LOC100288693, GINS2, IL1RN, IL13RA1, GINS1, RNASEH2A, GINS4, NPL, TIPIN, KIF20B, UBE2C, HMOX1, CD93, APITD1, MELK, CD14, DEPDC1, SIRPB2, POLE2, FPR1, KNTC1, SORT1, UBE2S, KIF20A, AIF1, MCM2, NCF2, NCF1, SMC2, POLQ, MKI67, RFC5, CSF1R, TK1, TMPO, RFC3, KIF14, CCR1, C21orf45, CD302, FOXM1, FBXO5, FANCD2, ZWILCH, GMNN, BRIP1, KIAA0101, WDHD1, NDC80, CDC6, CDC7, SCPEP1, FCER1G, SPI1, CYP1B1, RACGAP1, ASPM, FAM54A, ERCC6L, CDT1, CKS1B, MCM4, CD86, PRIM1, RAD51AP1, S100A9, SLC7A7, CST3, GGH, FANCI, E2F7, EPB41L3, MTMR11, LMNB2, CKS2, WDR76, CSTA, HMMR, RXRA, CCDC34, ASGR1, ASGR2, LMNB1, KIF11, FES, PTTG1, LGALS2, PADI4, UHRF1, C11orf82, KIAA1598, SHCBP1, LMO2, TACC3, APOBEC3A, LRRC25, ALDH2, APOBEC3B, CDK1, FAM72A, ARHGAP11A, RAD51, CDC45, PILRA, GPSM2, CKAP2L, DSCC1, TYMS, CTSH, POLA1, MAD2L1, STAB1, HELLS, DHFR, PLAUR, BIRC5, CEP55, VCAN, KIAA1524, EZH2, RRM2, RRM1, NLRP12, SYK, PRC1, ATAD2, ZNF367, MYOF, FAM83D, SERPINA1, CEBPA, DNA2, CCNA2, PLBD1, ECT2, CEBPD, CDKN3, TBXAS1, DIAPH3, TTK, TNFSF12-TNFSF13, KIF4A, RMI1, CDCA2, CDCA3, SKA3, KLF4, AURKA, AURKB, CDCA5, MNDA, POC1A, CDCA8, FCGRT, CENPE, ASF1B, PCNA, C1orf112, MCM10, MS4A6A, NEIL3, MND1, MPEG1, ANLN, KIF18A, PRKCD, FCGR2A, CYBB, MCM6, MCM5, KYNU, NCAPG2, IFI30, CASC5, TGFBI, HJURP, TRIP13, PPIL5, CPVL, DMXL2, CCNB2, CCNB1, AOAH, CHST15, E2F2, C12orf48, CFD, SLC11A1, RFC4, CLEC4A, E2F8, RAD54L, TYMP, LILRA6, MLF1IP, SEPX1, SIGLEC7, LILRA2, CFP, LILRA1"
"55","cell cycle, mitotic phase","M230","cell cycle, mitotic phase (M230)",12,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M230.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (10), cytoplasm (8), nucleus (7)","M230","CELL CYCLE","CELL CYCLE",12,"HACE1, AHCTF1, SMC3, TP53BP2, CENPC1, CD28, JMY, NAE1, MIS12, TTC19, TUBE1, RANBP2"
"56","cell division","M37.3","cell division (M37.3)",10,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M37.3.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (9), nucleus (8), cytoplasm (7)","M37.3","CELL CYCLE","CELL CYCLE",10,"SAC3D1, RBBP8, RUVBL1, CCNE1, NUP37, NCAPD3, BLM, NCAPD2, CKAP2, VRK1"
"57","cell division - E2F transcription network","M4.8","cell division - E2F transcription network (M4.8)",19,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.8.htm","KEGG_DNA_REPLICATION",0.12,3.12e-13,36,6,NA,NA,NA,NA,NA,"E2F_01",0.21,9.88e-31,56,13,"nucleus (18), protein binding (17), DNA binding (11)","M4.8","CELL CYCLE","CELL CYCLE",19,"E2F7, PCNA, NASP, MAD2L1, CASP2, TOPBP1, RFC5, TIMELESS, DNMT1, H2AFX, KIF4A, PRKDC, MCM4, DTYMK, MCM2, ZWINT, RNASEH2A, MCM3, RANBP1"
"58","cell division in stimulated CD4 T cells","M4.6","cell division in stimulated CD4 T cells (M4.6)",20,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.6.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.3",0.1,3.17e-12,49,6,NA,NA,NA,NA,NA,"nucleus (14), protein binding (11), nucleoplasm (10)","M4.6","CELL CYCLE","CELL CYCLE",20,"BRCA1, GINS2, CENPM, BRCA2, CDKN3, ANLN, CEP55, HMMR, POLE2, CDCA2, GINS1, NCAPG2, CDCA7, FANCD2, UBE2T, DEPDC1B, FANCL, FAM72A /// FAM72B /// FAM72C /// FAM72D, FANCI, DSCC1"
"59","cell movement, Adhesion & Platelet activation","M30","cell movement, Adhesion & Platelet activation (M30)",20,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M30.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M1.1",0.05,1.14e-08,86,5,NA,NA,NA,NA,NA,"protein binding (15), plasma membrane (9), cytoplasm (8)","M30","ECM AND MIGRATION","ECM AND MIGRATION",20,"PDGFA, ITGB3, PTK2, TNS1, SELP, MPP1, PROS1, KIF26A, TPM1, GAB1, NAV1, HBEGF, CTGF, COL5A1, ALOX12, ESAM, GP6, CALD1, CD9, SEMA6A"
"60","chemokine cluster (I)","M27.0","chemokine cluster (I) (M27.0)",26,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M27.0.htm","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.13,1.01e-51,190,25,NA,NA,NA,NA,NA,"NFKAPPAB_01",0.03,1.99e-09,194,7,"immune response (26), extracellular space (26), extracellular region (26)","M27.0","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",26,"CCL2, CCL1, CCL7, CCL4, CCL5, CCL8, PF4, XCL1, PPBP, CCL20, CCL23, IFNG, CXCL2, CXCL11, CXCL10, CXCL13, CXCL12, CXCL1, CXCL3, CCL13, CXCL5, CXCL6, CCL18, CCL19, CXCL9, IL8"
"61","chemokine cluster (II)","M27.1","chemokine cluster (II) (M27.1)",15,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M27.1.htm","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.07,1.03e-28,190,14,NA,NA,NA,NA,NA,"NFKAPPAB_01",0.03,1.92e-09,194,6,"immune response (14), chemotaxis (14), extracellular space (13)","M27.1","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",15,"ANXA1, CCL2, CXCL5, CCL7, CCL4, CCL5, CXCL9, CXCL6, CCR1, XCL1, CCR5, CXCL10, CXCL11, CCL20, CXCL13"
"62","chemokines and inflammatory molecules in myeloid cells","M86.0","chemokines and inflammatory molecules in myeloid cells (M86.0)",19,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M86.0.htm","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.09,4.56e-14,62,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (11), signal transduction (9), inflammatory response (8)","M86.0","INNATE RESPONSE","DC ACTIVATION",19,"CXCL1, TRAF1, ADORA2A /// CYTSA, CXCL2, NFKBIA, CCL4, BCL2A1, GCH1, G0S2, TNFAIP3, TNFAIP6, TNF, HS3ST3B1, NFKB1, SLAMF7, CCL20, IL1B, DUSP1, PDE4B"
"63","complement and other receptors in DCs","M40","complement and other receptors in DCs (M40)",13,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M40.htm","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.04,9.31e-11,140,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (12), plasma membrane (9), membrane (5)","M40","INNATE RESPONSE","DC ACTIVATION",13,"ITGAX, SIRPA, OLR1, TYROBP, CD58, C1QC, C1QB, C1QA, CD86, HLA-DQB1, LY96, TLR8, HLA-DQA1"
"64","cytokines - recepters cluster","M115","cytokines - recepters cluster (M115)",11,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M115.htm","KEGG_JAK_STAT_SIGNALING_PATHWAY",0.07,1.33e-24,155,11,NA,NA,NA,NA,NA,"AML_Q6",0.02,1.92e-06,198,4,"immune response (10), extracellular region (10), extracellular space (8)","M115","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",11,"IL7R, IL2RA, LIF, IL23A, IFNG, IL15, CSF2, CSF3, IL6, IL10, IL15RA"
"65","cytoskeletal remodeling","M32.8","cytoskeletal remodeling (M32.8)",10,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M32.8.htm","KEGG_FOCAL_ADHESION",0.02,1.31e-06,201,4,NA,NA,NA,NA,NA,"CRGAARNNNNCGA_UNKNOWN",0.07,4.65e-07,36,3,"protein binding (9), cytoplasm (8), nucleus (6)","M32.8","ECM AND MIGRATION","ECM AND MIGRATION",10,"TGFB1, ATP2A3, SPTAN1, ACIN1, TLN1, AP2M1, AKT1, MAP7D1, FLNA, ZYX"
"66","cytoskeletal remodeling (enriched for SRF targets)","M34","cytoskeletal remodeling (enriched for SRF targets) (M34)",10,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M34.htm","KEGG_FOCAL_ADHESION",0.02,1.31e-06,201,4,NA,NA,NA,NA,NA,"SRF_Q4",0.05,1.74e-21,191,10,"protein binding (8), cytosol (7), muscle contraction (5)","M34","ECM AND MIGRATION","ECM AND MIGRATION",10,"ACTN1, PPAP2B, VCL, MYLK, TPM1, NR2F2, CTGF, THBS1, CALD1, TPM2"
"67","cytoskeleton/actin (SRF transcription targets)","M145.0","cytoskeleton/actin (SRF transcription targets) (M145.0)",16,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M145.0.htm","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.05,1.29e-10,115,6,NA,NA,NA,NA,NA,"SRF_Q4",0.14,1.11e-24,74,11,"cytoplasm (11), protein binding (9), cytosol (9)","M145.0","ECM AND MIGRATION","ECM AND MIGRATION",30,"ACTA2, MYH11, MRVI1, SDPR, SVIL, ACTG2, CALD1, MYLK, MRGPRF, TPM2, PALLD, TPM1, EPS8, PLN, CAV2, TAGLN, ACTA2, MYH11, ACTG2, LMOD1, CALD1, MYLK, TPM1, TPM2, SYNPO2, SORBS1, TNS1, CAV2, VCL, MYL9"
"68","cytoskeleton/actin (SRF transcription targets)","M145.1","cytoskeleton/actin (SRF transcription targets) (M145.1)",14,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M145.1.htm","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.05,4.9e-11,115,6,NA,NA,NA,NA,NA,"SRF_Q4",0.04,7.41e-14,191,8,"cytosol (12), muscle contraction (11), cytoplasm (11)","M145.1","ECM AND MIGRATION","ECM AND MIGRATION",30,"ACTA2, MYH11, MRVI1, SDPR, SVIL, ACTG2, CALD1, MYLK, MRGPRF, TPM2, PALLD, TPM1, EPS8, PLN, CAV2, TAGLN, ACTA2, MYH11, ACTG2, LMOD1, CALD1, MYLK, TPM1, TPM2, SYNPO2, SORBS1, TNS1, CAV2, VCL, MYL9"
"69","enriched for SMAD2/3 signaling","M97","enriched for SMAD2/3 signaling (M97)",10,"signaling","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M97.htm","[PID]Regulation of nuclear SMAD2/3 signaling",0.09,1.52e-09,38,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (7), nucleus (5), transcription, DNA-dependent (3)","M97","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",10,"P4HA2, TCL1A, RGL1, RUNX2, MEF2C, MME, BIVM, LAMC1, VPREB1, GATA3"
"70","enriched for cell migration","M122","enriched for cell migration (M122)",11,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M122.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SRF_Q6",0.02,2.48e-06,211,4,"protein binding (9), extracellular region (9), signal transduction (6)","M122","ECM AND MIGRATION","ECM AND MIGRATION",11,"CCL2, PODN, TGFB2, IGF1, LAMA4, NBL1, MYLK, NR2F2, IGFBP5, CXCL12, NRP1"
"71","enriched in B cell differentiation","M123","enriched in B cell differentiation (M123)",13,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M123.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAX3_B",0.05,4.68e-08,65,4,"protein binding (9), signal transduction (4), regulation of transcription, DNA-dependent (4)","M123","B CELLS","PLASMA CELLS",13,"ICOSLG, HBEGF, LOC144481, NR4A1, GAB1, DLL1, LOC100288911, NR4A3, EBF1, FAM150B, BCL11B, VPREB1, VPREB3"
"72","enriched in B cells (I)","M47.0","enriched in B cells (I) (M47.0)",53,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.0.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M4.10",0.37,4.81e-56,32,23,NA,NA,NA,NA,NA,"protein binding (32), plasma membrane (21), integral to membrane (15)","M47.0","B CELLS","B CELLS",53,"STAP1, BLK, CD72, TSPAN13, BCL11A, C13orf18, KIAA0125, CD200, CD79B, VPREB3, CD79A, P2RX5, BTLA, AFF3, PPAPDC1B, IGHM, LOC90925, FCRLA, SPIB, FAM129C, ABCB4, LOC100130458, FCRL1, BANK1, MS4A1, FCRL5, TCF4, KLHL14, CXCR5, PCDH9, RALGPS2, CD22, TCL1A, CD24, IGH@, IGKV3-20, IGHD, MACROD2, EBF1, PNOC, ADAM28, LOC283663, CR2, PAX5, E2F5, PLEKHG1, FCER2, PKIG, FCRL2, IGLJ3, HLA-DOB, PTPRK, CD19"
"73","enriched in B cells (II)","M47.1","enriched in B cells (II) (M47.1)",43,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.1.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M4.10",0.21,2.42e-28,32,13,NA,NA,NA,NA,NA,"protein binding (28), plasma membrane (17), integral to membrane (12)","M47.1","B CELLS","B CELLS",43,"LOC90925, IGHA1, BCL11A, LOC642838, KIAA0125, LOC642424, IGK@, CD79B, CD79A, TPD52, CDK14, CXCR5, BANK1, MS4A1, FCRL5, BLNK, TCF4, SP140, KLHL14, RALGPS2, FCRLA, FCGR2B, TCL1A, CELSR1, CD24, IGH@, DENND5B, EBF1, PNOC, PAWR, CD180, IGHM, CR2, PAX5, LOC100130100, PLEKHG1, POU2AF1, PKIG, FAM30A, HLA-DOB, KLF8, PTPRK, CD19"
"74","enriched in B cells (III)","M47.2","enriched in B cells (III) (M47.2)",37,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.2.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (21), plasma membrane (10), integral to membrane (8)","M47.2","B CELLS","B CELLS",37,"LOC90925, LOC652493, IGHA1, LOC642838, KIAA0125, LOC642424, IGK@, IGKC, VPREB3, MEF2C, TPD52, LOC284749, CDK14, FCRL3, FCRL5, HHEX, TBC1D9, FCRLA, ALOX5, FCGR2B, CELSR1, CD24, IGH@, IGHD, CD69, PNOC, PAWR, CD180, FAIM3, LOC100130100, IGLV1-44, FAM30A, IGL@, HLA-DOA, HLA-DQA1, BTK, DENND5B"
"75","enriched in B cells (IV)","M47.3","enriched in B cells (IV) (M47.3)",16,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.3.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (13), plasma membrane (7), nucleus (5)","M47.3","B CELLS","B CELLS",16,"FAIM3, LOC284749, CPNE5, TPD52, CIITA, IGHA1, TLR10, IGHG1, CELSR1, FAM30A, CDK14, PAWR, CD180, MEF2C, BTK, HLA-DOA"
