MGI Marker Accession ID,Mouse Gene Symbol,Mouse NCBI Gene ID,HGNC ID,Human Gene Symbol,Human NCBI Gene ID
MGI:107743,Dync1i1,13426,HGNC:2963,DYNC1I1,1780
MGI:107750,Dync1i2,13427,HGNC:2964,DYNC1I2,1781
MGI:2135610,Dync1li1,235661,HGNC:18745,DYNC1LI1,51143
MGI:107738,Dync1li2,234663,HGNC:2966,DYNC1LI2,1783
MGI:107736,Dync2h1,110350,HGNC:2962,DYNC2H1,79659
MGI:2445085,Dync2i1,217935,HGNC:21862,DYNC2I1,55112
MGI:1919070,Dync2i2,71820,HGNC:28296,DYNC2I2,89891
MGI:1913996,Dync2li1,213575,HGNC:24595,DYNC2LI1,51626
MGI:1861457,Dynll1,56455,HGNC:15476,DYNLL1,8655
MGI:1915347,Dynll2,68097,HGNC:24596,DYNLL2,140735
MGI:1914318,Dynlrb1,67068,HGNC:15468,DYNLRB1,83658
MGI:1922715,Dynlrb2,75465,HGNC:15467,DYNLRB2,83657
MGI:1913311,Dynlt2b,66061,HGNC:28482,DYNLT2B,255758
MGI:1914367,Dynlt3,67117,HGNC:11694,DYNLT3,6990
MGI:3045358,Dynlt4,242646,HGNC:32315,DYNLT4,343521
MGI:1914594,Dynlt5,67344,HGNC:26882,DYNLT5,200132
MGI:1330299,Dyrk1a,13548,HGNC:3091,DYRK1A,1859
MGI:1330302,Dyrk1b,13549,HGNC:3092,DYRK1B,9149
MGI:1330301,Dyrk2,69181,HGNC:3093,DYRK2,8445
MGI:1330300,Dyrk3,226419,HGNC:3094,DYRK3,8444
MGI:1330292,Dyrk4,101320,HGNC:3095,DYRK4,8798
MGI:1349385,Dysf,26903,HGNC:3097,DYSF,8291
MGI:2685061,Dytn,241073,HGNC:23279,DYTN,391475
MGI:2139080,Dzank1,241688,HGNC:15858,DZANK1,55184
MGI:1914311,Dzip1,66573,HGNC:20908,DZIP1,22873
MGI:1919757,Dzip1l,72507,HGNC:26551,DZIP1L,199221
MGI:1917433,Dzip3,224170,HGNC:30938,DZIP3,9666
MGI:2442164,E130308A19Rik,230259,HGNC:23427,KIAA1958,158405
MGI:3607716,E130311K13Rik,329659,HGNC:26434,C3orf33,285315
MGI:101941,E2f1,13555,HGNC:3113,E2F1,1869
MGI:1096341,E2f2,242705,HGNC:3114,E2F2,1870
MGI:1096340,E2f3,13557,HGNC:3115,E2F3,1871
MGI:103012,E2f4,104394,HGNC:3118,E2F4,1874
MGI:105091,E2f5,13559,HGNC:3119,E2F5,1875
MGI:1354159,E2f6,50496,HGNC:3120,E2F6,1876
MGI:1289147,E2f7,52679,HGNC:23820,E2F7,144455
MGI:1922038,E2f8,108961,HGNC:24727,E2F8,79733
MGI:109530,E4f1,13560,HGNC:3121,E4F1,1877
MGI:1921677,Eaf1,74427,HGNC:20907,EAF1,85403
MGI:2146616,Eaf2,106389,HGNC:23115,EAF2,55840
MGI:1913516,Eapp,66266,HGNC:19312,EAPP,55837
MGI:1914667,Ears2,67417,HGNC:29419,EARS2,124454
MGI:1859920,Ebag9,55960,HGNC:3123,EBAG9,9166
MGI:95275,Ebf1,13591,HGNC:3126,EBF1,1879
MGI:894332,Ebf2,13592,HGNC:19090,EBF2,64641
MGI:894289,Ebf3,13593,HGNC:19087,EBF3,253738
MGI:2385972,Ebf4,228598,HGNC:29278,EBF4,57593
MGI:1354171,Ebi3,50498,HGNC:3129,EBI3,10148
MGI:1916322,Ebna1bp2,69072,HGNC:15531,EBNA1BP2,10969
MGI:107822,Ebp,13595,HGNC:3133,EBP,10682
MGI:1915427,Ebpl,68177,HGNC:18061,EBPL,84650
MGI:1917851,Ecd,70601,HGNC:17029,ECD,11319
MGI:1101357,Ece1,230857,HGNC:3146,ECE1,1889
MGI:1343461,Ecel1,13599,HGNC:3147,ECEL1,9427
MGI:1858208,Ech1,51798,HGNC:3149,ECH1,1891
MGI:1277169,Echdc1,52665,HGNC:21489,ECHDC1,55862
MGI:1289238,Echdc2,52430,HGNC:23408,ECHDC2,55268
MGI:1915106,Echdc3,67856,HGNC:23489,ECHDC3,79746
MGI:2136460,Echs1,93747,HGNC:3151,ECHS1,1892
MGI:94871,Eci1,13177,HGNC:2703,ECI1,1632
MGI:103060,Ecm1,13601,HGNC:3153,ECM1,1893
MGI:3039578,Ecm2,407800,HGNC:3154,ECM2,1842
MGI:2140220,Ecpas,230249,HGNC:29020,ECPAS,23392
MGI:1926146,Ecrg4,78896,HGNC:24642,ECRG4,84417
MGI:1915795,Ecscr,68545,HGNC:35454,ECSCR,641700
MGI:1349469,Ecsit,26940,HGNC:29548,ECSIT,51295
MGI:95281,Ect2,13605,HGNC:3155,ECT2,1894
MGI:3641723,Ect2l,100045792,HGNC:21118,ECT2L,345930
MGI:1195272,Eda,13607,HGNC:3157,EDA,1896
MGI:2442860,Eda2r,245527,HGNC:17756,EDA2R,60401
MGI:1343498,Edar,13608,HGNC:2895,EDAR,10913
MGI:1931001,Edaradd,171211,HGNC:14341,EDARADD,128178
MGI:2142951,Edc3,353190,HGNC:26114,EDC3,80153
MGI:2446249,Edc4,234699,HGNC:17157,EDC4,23644
MGI:3643580,Eddm13,627821,HGNC:53168,EDDM13,100506374
MGI:2180139,Edem1,192193,HGNC:18967,EDEM1,9695
MGI:1915540,Edem2,108687,HGNC:15877,EDEM2,55741
MGI:1914217,Edem3,66967,HGNC:16787,EDEM3,80267
MGI:1891227,Edf1,59022,HGNC:3164,EDF1,8721
MGI:1329025,Edil3,13612,HGNC:3173,EDIL3,10085
MGI:95283,Edn1,13614,HGNC:3176,EDN1,1906
MGI:95284,Edn2,13615,HGNC:3177,EDN2,1907
MGI:95285,Edn3,13616,HGNC:3178,EDN3,1908
MGI:105923,Ednra,13617,HGNC:3179,EDNRA,1909
MGI:102720,Ednrb,13618,HGNC:3180,EDNRB,1910
MGI:1919831,Edrf1,214764,HGNC:24640,EDRF1,26098
MGI:2442192,Eea1,216238,HGNC:3185,EEA1,8411
MGI:95286,Eed,13626,HGNC:3188,EED,8726
MGI:1096317,Eef1a2,13628,HGNC:3192,EEF1A2,1917
MGI:1915293,Eef1akmt1,68043,HGNC:27351,EEF1AKMT1,221143
MGI:1919346,Eef1akmt2,72096,HGNC:33787,EEF1AKMT2,399818
MGI:3645330,Eef1akmt3,100504608,HGNC:24936,EEF1AKMT3,25895
MGI:5903914,Eef1akmt4,110599566,HGNC:53611,EEF1AKMT4,110599564
MGI:1929520,Eef1b2,55949,HGNC:3208,EEF1B2,1933
MGI:1913906,Eef1d,66656,HGNC:3211,EEF1D,1936
MGI:1913393,Eef1e1,66143,HGNC:3212,EEF1E1,9521
MGI:1914410,Eef1g,67160,HGNC:3213,EEF1G,1937
MGI:95288,Eef2,13629,HGNC:3214,EEF2,1938
MGI:1195261,Eef2k,13631,HGNC:24615,EEF2K,29904
MGI:2137092,Eefsec,65967,HGNC:24614,EEFSEC,60678
MGI:2138935,Eeig1,98952,HGNC:31419,EEIG1,399665
MGI:3036259,Eeig2,329739,HGNC:27637,EEIG2,284611
MGI:1914734,Eepd1,67484,HGNC:22223,EEPD1,80820
MGI:1922290,Efcab10,75040,HGNC:34531,EFCAB10,100130771
MGI:1926017,Efcab11,78767,HGNC:20357,EFCAB11,90141
MGI:2681834,Efcab12,212516,HGNC:28061,EFCAB12,90288
MGI:2442397,Efcab14,230648,HGNC:29051,EFCAB14,9813
MGI:1916691,Efcab15,69441,HGNC:55140,EFCAB15P,118568824
MGI:1915476,Efcab2,68226,HGNC:28166,DRC8,84288
MGI:1918144,Efcab3,70894,HGNC:26379,EFCAB3,146779
MGI:2442440,Efcab5,319634,HGNC:24801,EFCAB5,374786
MGI:1924877,Efcab6,77627,HGNC:24204,EFCAB6,64800
MGI:2385199,Efcab7,230500,HGNC:29379,EFCAB7,84455
MGI:3644206,Efcab8,100504221,HGNC:34532,EFCAB8,388795
MGI:1916556,Efcab9,69306,HGNC:34530,EFCAB9,285588
MGI:3611451,Efcc1,58229,HGNC:25692,EFCC1,79825
MGI:1339998,Efemp1,216616,HGNC:3218,EFEMP1,2202
MGI:1891209,Efemp2,58859,HGNC:3219,EFEMP2,30008
MGI:3045296,Efhb,211482,HGNC:26330,EFHB,151651
MGI:1919127,Efhc1,71877,HGNC:16406,EFHC1,114327
MGI:1921655,Efhc2,74405,HGNC:26233,EFHC2,80258
MGI:1921607,Efhd1,98363,HGNC:29556,EFHD1,80303
MGI:106504,Efhd2,27984,HGNC:28670,EFHD2,79180
MGI:2141969,Efl1,101592,HGNC:25789,EFL1,79631
MGI:103236,Efna1,13636,HGNC:3221,EFNA1,1942
MGI:102707,Efna2,13637,HGNC:3222,EFNA2,1943
MGI:106644,Efna3,13638,HGNC:3223,EFNA3,1944
MGI:106643,Efna4,13639,HGNC:3224,EFNA4,1945
MGI:107444,Efna5,13640,HGNC:3225,EFNA5,1946
MGI:102708,Efnb1,13641,HGNC:3226,EFNB1,1947
MGI:105097,Efnb2,13642,HGNC:3227,EFNB2,1948
MGI:109196,Efnb3,13643,HGNC:3228,EFNB3,1949
MGI:1923990,Efr3a,76740,HGNC:28970,EFR3A,23167
MGI:2444851,Efr3b,668212,HGNC:29155,EFR3B,22979
MGI:105311,Efs,13644,HGNC:16898,EFS,10278
MGI:1336880,Eftud2,20624,HGNC:30858,EFTUD2,9343
MGI:95290,Egf,13645,HGNC:3229,EGF,1950
MGI:1922990,Egfem1,75740,HGNC:25149,EGFEM1P,93556
MGI:1858599,Egfl6,54156,HGNC:3235,EGFL6,25975
MGI:2449923,Egfl7,353156,HGNC:20594,EGFL7,51162
MGI:1932094,Egfl8,81701,HGNC:13944,EGFL8,80864
MGI:2146149,Egflam,268780,HGNC:26810,EGFLAM,133584
MGI:95294,Egfr,13649,HGNC:3236,EGFR,1956
MGI:1932286,Egln1,112405,HGNC:1232,EGLN1,54583
MGI:1932287,Egln2,112406,HGNC:14660,EGLN2,112398
MGI:1932288,Egln3,112407,HGNC:14661,EGLN3,112399
MGI:95295,Egr1,13653,HGNC:3238,EGR1,1958
MGI:95296,Egr2,13654,HGNC:3239,EGR2,1959
MGI:1306780,Egr3,13655,HGNC:3240,EGR3,1960
MGI:99252,Egr4,13656,HGNC:3241,EGR4,1961
MGI:2667252,Ehbp1,216565,HGNC:29144,EHBP1,23301
MGI:3612340,Ehbp1l1,114601,HGNC:30682,EHBP1L1,254102
MGI:1341878,Ehd1,13660,HGNC:3242,EHD1,10938
MGI:2154274,Ehd2,259300,HGNC:3243,EHD2,30846
MGI:1928900,Ehd3,57440,HGNC:3244,EHD3,30845
MGI:1919619,Ehd4,98878,HGNC:3245,EHD4,30844
MGI:1270840,Ehf,13661,HGNC:3246,EHF,26298
MGI:1277964,Ehhadh,74147,HGNC:3247,EHHADH,1962
MGI:1924933,Ehmt1,77683,HGNC:24650,EHMT1,79813
MGI:2148922,Ehmt2,110147,HGNC:14129,EHMT2,10919
MGI:108090,Ei24,13663,HGNC:13276,EI24,9538
MGI:1889651,Eid1,58521,HGNC:1191,EID1,23741
MGI:2681174,Eid2,386655,HGNC:28292,EID2,163126
MGI:1924095,Eid2b,434156,HGNC:26796,EID2B,126272
MGI:1913591,Eid3,66341,HGNC:32961,EID3,493861
MGI:105125,Eif1,20918,HGNC:3249,EIF1,10209
MGI:1917110,Eif1ad,69860,HGNC:28147,EIF1AD,84285
MGI:1916219,Eif1b,68969,HGNC:30792,EIF1B,10289
MGI:1098684,Eif2a,229317,HGNC:3254,EIF2A,83939
MGI:1353448,Eif2ak1,15467,HGNC:24921,EIF2AK1,27102
MGI:1353449,Eif2ak2,19106,HGNC:9437,EIF2AK2,5610
MGI:1341830,Eif2ak3,13666,HGNC:3255,EIF2AK3,9451
MGI:1353427,Eif2ak4,27103,HGNC:19687,EIF2AK4,440275
MGI:2384802,Eif2b1,209354,HGNC:3257,EIF2B1,1967
MGI:2145118,Eif2b2,217715,HGNC:3258,EIF2B2,8892
MGI:1313286,Eif2b3,108067,HGNC:3259,EIF2B3,8891
MGI:95300,Eif2b4,13667,HGNC:3260,EIF2B4,8890
MGI:2446176,Eif2b5,224045,HGNC:3261,EIF2B5,8893
MGI:109342,Eif2d,16865,HGNC:6583,EIF2D,1939
MGI:95299,Eif2s1,13665,HGNC:3265,EIF2S1,1965
MGI:1914454,Eif2s2,67204,HGNC:3266,EIF2S2,8894
MGI:95301,Eif3a,13669,HGNC:3271,EIF3A,8661
MGI:106478,Eif3b,27979,HGNC:3280,EIF3B,8662
MGI:1933181,Eif3d,55944,HGNC:3278,EIF3D,8664
MGI:99257,Eif3e,16341,HGNC:3277,EIF3E,3646
MGI:1913335,Eif3f,66085,HGNC:3275,EIF3F,8665
MGI:1858258,Eif3g,53356,HGNC:3274,EIF3G,8666
MGI:1915385,Eif3h,68135,HGNC:3273,EIF3H,8667
MGI:1860763,Eif3i,54709,HGNC:3272,EIF3I,8668
MGI:1921080,Eif3k,73830,HGNC:24656,EIF3K,27335
MGI:2386251,Eif3l,223691,HGNC:18138,EIF3L,51386
MGI:1351744,Eif3m,98221,HGNC:24460,EIF3M,10480
MGI:95303,Eif4a1,13681,HGNC:3282,EIF4A1,1973
MGI:106906,Eif4a2,13682,HGNC:3284,EIF4A2,1974
MGI:95304,Eif4b,75705,HGNC:3285,EIF4B,1975
MGI:95305,Eif4e,13684,HGNC:3287,EIF4E,1977
MGI:2685119,Eif4e1b,218268,HGNC:33179,EIF4E1B,253314
MGI:1914440,Eif4e2,26987,HGNC:3293,EIF4E2,9470
MGI:1914142,Eif4e3,66892,HGNC:31837,EIF4E3,317649
MGI:103267,Eif4ebp1,13685,HGNC:3288,EIF4EBP1,1978
MGI:109198,Eif4ebp2,13688,HGNC:3289,EIF4EBP2,1979
MGI:1270847,Eif4ebp3,108112,HGNC:3290,EIF4EBP3,8637
MGI:1921453,Eif4enif1,74203,HGNC:16687,EIF4ENIF1,56478
MGI:2384784,Eif4g1,208643,HGNC:3296,EIF4G1,1981
MGI:109207,Eif4g2,13690,HGNC:3297,EIF4G2,1982
MGI:1923935,Eif4g3,230861,HGNC:3298,EIF4G3,8672
MGI:1341822,Eif4h,22384,HGNC:12741,EIF4H,7458
MGI:95309,Eif5,217869,HGNC:3299,EIF5,1983
MGI:1933735,Eif5a2,208691,HGNC:3301,EIF5A2,56648
MGI:2441772,Eif5b,226982,HGNC:30793,EIF5B,9669
MGI:1196288,Eif6,16418,HGNC:6159,EIF6,3692
MGI:1289332,Eipr1,380752,HGNC:12383,EIPR1,7260
MGI:1890495,Elac1,114615,HGNC:14197,ELAC1,55520
MGI:1890496,Elac2,68626,HGNC:14198,ELAC2,60528
MGI:2679229,Elane,50701,HGNC:3309,ELANE,1991
MGI:1923930,Elapor1,229722,HGNC:29618,ELAPOR1,57535
MGI:2443264,Elapor2,231014,HGNC:21945,ELAPOR2,222223
MGI:1100851,Elavl1,15568,HGNC:3312,ELAVL1,1994
MGI:1100887,Elavl2,15569,HGNC:3313,ELAVL2,1993
MGI:109157,Elavl3,15571,HGNC:3314,ELAVL3,1995
MGI:107427,Elavl4,15572,HGNC:3315,ELAVL4,1996
MGI:107180,Elf1,13709,HGNC:3316,ELF1,1997
MGI:1916507,Elf2,69257,HGNC:3317,ELF2,1998
MGI:1101781,Elf3,13710,HGNC:3318,ELF3,1999
MGI:1928377,Elf4,56501,HGNC:3319,ELF4,2000
MGI:1335079,Elf5,13711,HGNC:3320,ELF5,2001
MGI:2442479,Elfn1,243312,HGNC:33154,ELFN1,392617
MGI:3608416,Elfn2,207393,HGNC:29396,ELFN2,114794
MGI:101833,Elk1,13712,HGNC:3321,ELK1,2002
MGI:101762,Elk3,13713,HGNC:3325,ELK3,2004
MGI:102853,Elk4,13714,HGNC:3326,ELK4,2005
MGI:109377,Ell,13716,HGNC:23114,ELL,8178
MGI:2183438,Ell2,192657,HGNC:17064,ELL2,22936
MGI:2673679,Ell3,269344,HGNC:23113,ELL3,80237
MGI:2153044,Elmo1,140580,HGNC:16286,ELMO1,9844
MGI:2153045,Elmo2,140579,HGNC:17233,ELMO2,63916
MGI:2679007,Elmo3,234683,HGNC:17289,ELMO3,79767
MGI:3583900,Elmod1,270162,HGNC:25334,ELMOD1,55531
MGI:2445165,Elmod2,244548,HGNC:28111,ELMOD2,255520
MGI:2445168,Elmod3,232089,HGNC:26158,ELMOD3,84173
MGI:95317,Eln,13717,HGNC:3327,ELN,2006
MGI:1351315,Eloa,27224,HGNC:11620,ELOA,6924
MGI:1915173,Eloc,67923,HGNC:11617,ELOC,6921
MGI:1913376,Elof1,66126,HGNC:28691,ELOF1,84337
MGI:1858959,Elovl1,54325,HGNC:14418,ELOVL1,64834
MGI:1858960,Elovl2,54326,HGNC:14416,ELOVL2,54898
MGI:1195976,Elovl3,12686,HGNC:18047,ELOVL3,83401
MGI:1933331,Elovl4,83603,HGNC:14415,ELOVL4,6785
MGI:1916051,Elovl5,68801,HGNC:21308,ELOVL5,60481
MGI:2156528,Elovl6,170439,HGNC:15829,ELOVL6,79071
MGI:1921809,Elovl7,74559,HGNC:26292,ELOVL7,79993
MGI:1914544,Elp1,230233,HGNC:5959,ELP1,8518
MGI:1889642,Elp2,58523,HGNC:18248,ELP2,55250
MGI:1921445,Elp3,74195,HGNC:20696,ELP3,55140
MGI:1925016,Elp4,77766,HGNC:1171,ELP4,26610
MGI:1859017,Elp5,54351,HGNC:30617,ELP5,23587
MGI:1919349,Elp6,72341,HGNC:25976,ELP6,54859
MGI:95321,Emb,13723,HGNC:30465,EMB,133418
MGI:2443696,Emc1,230866,HGNC:28957,EMC1,23065
MGI:1916933,Emc10,69683,HGNC:27609,EMC10,284361
MGI:1913986,Emc2,66736,HGNC:28963,EMC2,9694
MGI:1913337,Emc3,66087,HGNC:23999,EMC3,55831
MGI:1915282,Emc4,68032,HGNC:28032,EMC4,51234
MGI:1913298,Emc6,66048,HGNC:28430,EMC6,83460
MGI:1920274,Emc7,73024,HGNC:24301,EMC7,56851
MGI:1343095,Emc8,18117,HGNC:7864,EMC8,10328
MGI:1934682,Emc9,85308,HGNC:20273,EMC9,51016
MGI:1891716,Emcn,59308,HGNC:16041,EMCN,51705
MGI:108117,Emd,13726,HGNC:3331,EMD,2010
MGI:3576783,Eme1,268465,HGNC:24965,EME1,146956
MGI:1919889,Eme2,193838,HGNC:27289,EME2,197342
MGI:1315195,Emg1,14791,HGNC:16912,EMG1,10436
MGI:2155091,Emid1,140703,HGNC:18036,EMID1,129080
MGI:1926189,Emilin1,100952,HGNC:19880,EMILIN1,11117
MGI:2389136,Emilin2,246707,HGNC:19881,EMILIN2,84034
MGI:2389142,Emilin3,280635,HGNC:16123,EMILIN3,90187
MGI:1915769,Eml1,68519,HGNC:3330,EML1,2009
MGI:1919455,Eml2,72205,HGNC:18035,EML2,24139
MGI:2387612,Eml3,225898,HGNC:26666,EML3,256364
MGI:1926048,Eml4,78798,HGNC:1316,EML4,27436
MGI:2442513,Eml5,319670,HGNC:18197,EML5,161436
MGI:2442895,Eml6,237711,HGNC:35412,EML6,400954
MGI:107941,Emp1,13730,HGNC:3333,EMP1,2012
MGI:1098726,Emp2,13731,HGNC:3334,EMP2,2013
MGI:1098729,Emp3,13732,HGNC:3335,EMP3,2014
MGI:1924203,Emsy,233545,HGNC:18071,EMSY,56946
MGI:95387,Emx1,13796,HGNC:3340,EMX1,2016
MGI:95388,Emx2,13797,HGNC:3341,EMX2,2018
MGI:95389,En1,13798,HGNC:3342,EN1,2019
MGI:95390,En2,13799,HGNC:3343,EN2,2020
MGI:108360,Enah,13800,HGNC:18271,ENAH,55740
MGI:1333772,Enam,13801,HGNC:3344,ENAM,10117
MGI:109610,Enc1,13803,HGNC:3345,ENC1,8507
MGI:1919196,Endod1,71946,HGNC:29129,ENDOD1,23052
MGI:1261433,Endog,13804,HGNC:3346,ENDOG,2021
MGI:97746,Endou,19011,HGNC:14369,ENDOU,8909
MGI:2444688,Endov,338371,HGNC:26640,ENDOV,284131
MGI:95392,Eng,13805,HGNC:3349,ENG,2022
MGI:2443788,Engase,217364,HGNC:24622,ENGASE,64772
MGI:1916888,Enho,69638,HGNC:24838,ENHO,375704
MGI:2142593,Enkd1,102124,HGNC:25246,ENKD1,84080
MGI:1918483,Enkur,71233,HGNC:28388,ENKUR,219670
MGI:95394,Eno2,13807,HGNC:3353,ENO2,2026
MGI:95395,Eno3,13808,HGNC:3354,ENO3,2027
MGI:2441717,Eno4,226265,HGNC:31670,ENO4,387712
MGI:1915120,Enoph1,67870,HGNC:24599,ENOPH1,58478
MGI:2444896,Enox1,239188,HGNC:25474,ENOX1,55068
MGI:2384799,Enox2,209224,HGNC:2259,ENOX2,10495
MGI:106645,Enpep,13809,HGNC:3355,ENPEP,2028
MGI:97370,Enpp1,18605,HGNC:3356,ENPP1,5167
MGI:1321390,Enpp2,18606,HGNC:3357,ENPP2,5168
MGI:2143702,Enpp3,209558,HGNC:3358,ENPP3,5169
MGI:2682634,Enpp4,224794,HGNC:3359,ENPP4,22875
MGI:1933830,Enpp5,83965,HGNC:13717,ENPP5,59084
MGI:2445171,Enpp6,320981,HGNC:23409,ENPP6,133121
MGI:3027917,Enpp7,238011,HGNC:23764,ENPP7,339221
MGI:1891189,Ensa,56205,HGNC:3360,ENSA,2029
MGI:2686088,Enthd1,383075,HGNC:26352,ENTHD1,150350
MGI:102805,Entpd1,12495,HGNC:3363,ENTPD1,953
MGI:1096863,Entpd2,12496,HGNC:3364,ENTPD2,954
MGI:1321386,Entpd3,215446,HGNC:3365,ENTPD3,956
MGI:1321385,Entpd5,12499,HGNC:3367,ENTPD5,957
MGI:1202295,Entpd6,12497,HGNC:3368,ENTPD6,955
MGI:2135885,Entpd7,93685,HGNC:19745,ENTPD7,57089
MGI:1919340,Entpd8,72090,HGNC:24860,ENTPD8,377841
MGI:1915362,Entr1,68112,HGNC:10667,ENTR1,10807
MGI:2685813,Entrep1,381217,HGNC:24820,ENTREP1,9413
MGI:1917888,Entrep2,70638,HGNC:29075,ENTREP2,23359
MGI:1915771,Entrep3,68521,HGNC:1233,ENTREP3,10712
MGI:1919286,Eny2,223527,HGNC:24449,ENY2,56943
MGI:2141669,Eogt,101351,HGNC:28526,EOGT,285203
MGI:1201683,Eomes,13813,HGNC:3372,EOMES,8320
MGI:1276116,Ep300,328572,HGNC:3373,EP300,2033
MGI:1276124,Ep400,75560,HGNC:11958,EP400,57634
MGI:109169,Epas1,13819,HGNC:3374,EPAS1,2034
MGI:95401,Epb41,269587,HGNC:3377,EPB41,2035
MGI:103010,Epb41l1,13821,HGNC:3378,EPB41L1,2036
MGI:103009,Epb41l2,13822,HGNC:3379,EPB41L2,2037
MGI:103008,Epb41l3,13823,HGNC:3380,EPB41L3,23136
MGI:103007,Epb41l4a,13824,HGNC:13278,EPB41L4A,64097
MGI:1859149,Epb41l4b,54357,HGNC:19818,EPB41L4B,54566
MGI:103006,Epb41l5,226352,HGNC:19819,EPB41L5,57669
MGI:95402,Epb42,13828,HGNC:3381,EPB42,2038
MGI:1278322,Epc1,13831,HGNC:19876,EPC1,80314
MGI:1278321,Epc2,227867,HGNC:24543,EPC2,26122
MGI:106653,Epcam,17075,HGNC:11529,EPCAM,4072
MGI:1921637,Epcip,74387,HGNC:1305,EPCIP,56245
MGI:2145369,Epdr1,105298,HGNC:17572,EPDR1,54749
MGI:1918673,Epg5,100502841,HGNC:29331,EPG5,57724
MGI:1919170,Epgn,71920,HGNC:17470,EPGN,255324
MGI:107381,Epha1,13835,HGNC:3385,EPHA1,2041
MGI:3586824,Epha10,230735,HGNC:19987,EPHA10,284656
MGI:95278,Epha2,13836,HGNC:3386,EPHA2,1969
MGI:99612,Epha3,13837,HGNC:3387,EPHA3,2042
MGI:98277,Epha4,13838,HGNC:3388,EPHA4,2043
MGI:99654,Epha5,13839,HGNC:3389,EPHA5,2044
MGI:108034,Epha6,13840,HGNC:19296,EPHA6,285220
MGI:95276,Epha7,13841,HGNC:3390,EPHA7,2045
MGI:109378,Epha8,13842,HGNC:3391,EPHA8,2046
MGI:1096337,Ephb1,270190,HGNC:3392,EPHB1,2047
MGI:99611,Ephb2,13844,HGNC:3393,EPHB2,2048
MGI:104770,Ephb3,13845,HGNC:3394,EPHB3,2049
MGI:104757,Ephb4,13846,HGNC:3395,EPHB4,2050
MGI:1096338,Ephb6,13848,HGNC:3396,EPHB6,2051
MGI:95405,Ephx1,13849,HGNC:3401,EPHX1,2052
MGI:99500,Ephx2,13850,HGNC:3402,EPHX2,2053
MGI:1919182,Ephx3,71932,HGNC:23760,EPHX3,79852
MGI:2686228,Ephx4,384214,HGNC:23758,EPHX4,253152
MGI:1341085,Epm2a,13853,HGNC:3413,EPM2A,7957
MGI:1925031,Epm2aip1,77781,HGNC:19735,EPM2AIP1,9852
MGI:1333763,Epn1,13854,HGNC:21604,EPN1,29924
MGI:1333766,Epn2,13855,HGNC:18639,EPN2,22905
MGI:1919139,Epn3,71889,HGNC:18235,EPN3,55040
MGI:95407,Epo,13856,HGNC:3415,EPO,2056
MGI:2143991,Epop,103551,HGNC:34493,EPOP,100170841
MGI:95408,Epor,13857,HGNC:3416,EPOR,2057
MGI:2386306,Eppk1,223650,HGNC:15577,EPPK1,83481
MGI:97838,Eprs1,107508,HGNC:3418,EPRS1,2058
MGI:104583,Eps15,13858,HGNC:3419,EPS15,2060
MGI:104582,Eps15l1,13859,HGNC:24634,EPS15L1,58513
MGI:104684,Eps8,13860,HGNC:3420,EPS8,2059
MGI:1914675,Eps8l1,67425,HGNC:21295,EPS8L1,54869
MGI:2138828,Eps8l2,98845,HGNC:21296,EPS8L2,64787
MGI:2139743,Eps8l3,99662,HGNC:21297,EPS8L3,79574
MGI:1915168,Epsti1,108670,HGNC:16465,EPSTI1,94240
MGI:107569,Epx,13861,HGNC:3423,EPX,8288
MGI:107942,Epyc,13516,HGNC:3053,EPYC,1833
MGI:1915003,Eqtn,67753,HGNC:1359,EQTN,54586
MGI:1889295,Eral1,57837,HGNC:3424,ERAL1,26284
MGI:1933403,Erap1,80898,HGNC:18173,ERAP1,51752
MGI:2665023,Eras,353283,HGNC:5174,ERAS,3266
MGI:95410,Erbb2,13866,HGNC:3430,ERBB2,2064
MGI:95411,Erbb3,13867,HGNC:3431,ERBB3,2065
MGI:104771,Erbb4,13869,HGNC:3432,ERBB4,2066
MGI:1890169,Erbin,59079,HGNC:15842,ERBIN,55914
MGI:2151013,Erc1,111173,HGNC:17072,ERC1,23085
MGI:1098749,Erc2,238988,HGNC:31922,ERC2,26059
MGI:95412,Ercc1,13870,HGNC:3433,ERCC1,2067
MGI:95413,Ercc2,13871,HGNC:3434,ERCC2,2068
MGI:95414,Ercc3,13872,HGNC:3435,ERCC3,2071
MGI:1354163,Ercc4,50505,HGNC:3436,ERCC4,2072
MGI:103582,Ercc5,22592,HGNC:3437,ERCC5,2073
MGI:1100494,Ercc6,319955,HGNC:3438,ERCC6,2074
MGI:2654144,Ercc6l,236930,HGNC:20794,ERCC6L,54821
MGI:1923501,Ercc6l2,76251,HGNC:26922,ERCC6L2,375748
MGI:1919241,Ercc8,71991,HGNC:3439,ERCC8,1161
MGI:107508,Ereg,13874,HGNC:3443,EREG,2069
MGI:109637,Erf,13875,HGNC:3444,ERF,2077
MGI:3606476,Erfe,227358,HGNC:26727,ERFE,151176
MGI:3642958,Erfl,232974,HGNC:53894,ERFL,390937
MGI:95415,Erg,13876,HGNC:3446,ERG,2078
MGI:1915571,Erg28,58520,HGNC:1187,ERG28,11161
MGI:1914708,Ergic1,67458,HGNC:29205,ERGIC1,57222
MGI:1914706,Ergic2,67456,HGNC:30208,ERGIC2,51290
MGI:1913616,Ergic3,66366,HGNC:15927,ERGIC3,51614
MGI:108089,Erh,13877,HGNC:3447,ERH,2079
